num.,name,arabic,sex,meaning
1,Aabaad,عباد,m,غلام، بندہ
2,Aabbaz,آب باز,m,پانی میں تیرنے والا
3,Aabed,عابد,m,فرمانبردار
4,Aabes,عابس,m,شیر
5,Aabid,عابد,m,نذر کرنا، بندہ
6,Aabideen,عابدین,m,پَرِستار
7,Aabinus,آبنوس,m,گہرا سیاہ رنگ، آبنوس
8,Aadam,آدم,m,پیغمبر علیہ السلام کا نام
9,Aadar,عادر,m,حرف
10,Aadeel,عدیل,m,عدل پسند، منصف
11,Aadil,عادل,m,منصفانہ، عادل
12,Aaess,عائث,m,شیر
13,Aaeze,عائز,m,فقیر
14,Aafandi,آفندی,m,بزرگ،محترم،نیک
15,Aafaq,آفاق,m,افق کی جمع، دنیا
16,Aafeen,عافین,m,غلطیاں معاف کرنے والا، رحیم
17,Aafi,عافی,m,معاف کرنے والا، درگزر كرنے والا، غلطی بخشنے والا
18,Aafien,عافین,m,بہادر
19,Aafsar,عافسر,m,تیزی سے کام کرنے والا، تیز عمل کرنے والا
20,Aaghaa,آغا,m,حاکم، مالکن
21,Aaghir,آغر,m,نیک،شریف
22,Aahid,عاہد,m,ایفائے عہد کرنے والا، وعدہ کا پکا، نبھانے والا
23,Aahil,آہل ۔ آحل,m,عظیم بادشاہ ، عظیم لیڈر ، شہنشاہ
24,Aahin,عاہن,m,عاجز
25,Aaid,آید,m,واپس دینا، بحال کرنا
26,Aaied,عائد,m,عود کر آنے والا، دوبارہ مُبتلا ہو جانا، پلٹ کر آجانا
27,Aaien,عاہن,m,درویش صفت، اچھی عادات کا حامل، نیک صفات کا حامل
28,Aaiesh,عائش,m,سُکھی،عیش و آرام سے زندگی گزارنے والا
29,Aain,عائن,m,بڑا بادشاہ
30,Aaiq,عائق,m,رکاوٹ
31,Aais,عیث,m,خوشی
32,Aaish,عائش,m,خوش
33,Aaiss,عائث,m,شیر
34,Aajif,عاجف,m,تیز ہوا
35,Aajil,عاجل,m,جلد باز
36,Aajiz,عاجز,m,مجبور
37,Aakhon,آخون,m,اُستاد، معلم
38,Aaki,عاکی,m,قیام کرنے والا، ٹھہرنے والا، مقيم
39,Aakif,آکف,m,عنایت کی گئی، منسلک
40,Aalah,اعلیٰ,m,بلند مرتبہ،بہت اونچا
41,Aalam,عالم,m,کائنات، دنیا
42,Aalama,علامہ,m,عالم،دانا
43,Aalamgeer,عالمگیر,m,دنیا کا فاتح
44,Aali,علی,m,بلند، اونچا
45,Aalif,آلف,m,شفقت
46,Aalim,عالم,m,آدمی سیکھ رہا ہے، عقلمند
47,Aaliyan,عالیان,m,لمبا اور صحت مند
48,Aamad,عامد,m,ارادہ کرنے والا، کوشش کرنے والا
49,Aameen,آمین,m,قبول کرنے والے، خدا ایسا ہی ہو۔
50,Aamel,عامل,m,عمل کرنے والا
51,Aamerr,عامر,m,آباد کرنے والا
52,Aamil,اعمل,m,موئثر، مزدور
53,Aamin,آمین,m,خدا کرے ایسا ہی ہو
54,Aamir,عامر,m,آباد کرنے والا،بھرا ہوا
55,Aammar,عمار,m,بنانے والا
56,Aamozgar,آموزگار,m,معلم،اتالیق،اُستاد
57,Aanak,عانک,m,خالص
58,Aaqaa,آقا,m,اُستاد، ملک
59,Aaqib,عاقب,m,پیروکار، مُرید
60,Aarab,عارب,m,پانی سے بھری نہر
61,Aaram,عارم,m,شوخ،چنچل
62,Aarat,آرت,m,فنکار
63,Aarez,عارض,m,گال
64,Aarib,عریب,m,خوبصورت، تندرست
65,Aarif,عارف,m,ولی اللہ، پہچاننے والا
66,Aaron,ارون,m,عزوجل سے ایک
67,Aarzam,رزم,m,جنگ، لڑائی
68,Aarzu,آرزو,m,خواہش، اُمید، محبت
69,Aas,عاص,m,صحابی کا نام
70,Aasaal,اسال,m,شام کا وقت، اصلی، خالص
71,Aasaf,آصَف,m,واضح
72,Aasel,عاسل,m,نیک
73,Aasem,عاصم,m,محافظ
74,Aaser,عاصر,m,رکاوٹ
75,Aasil,اصیل,m,شدید؎ حملہ
76,Aasim,عاصم,m,محافظ
77,Aasta,آستا,m,آسرا
78,Aatak,آتک,m,سیسہ
79,Aatazaz,اعتزاز,m,عزیز ہونا، پھیلانا
80,Aaten,عاتن,m,مضبوط
81,Aati,عاطی,m,حاصل کرنے والا، دینے والا، بنانے والا
82,Aatif,عاطف,m,شفیق، مہربان
83,Aatim,عاطم,m,علم و فضل والا
84,Aatir,عاطر,m,خوشبو
85,Aawais,اویس,m,ایک بزرگ کا نام
86,Aawan,آوان,m,لمحہ،وقت،گھڑی
87,Aawez,آویز,m,محبت،الفت،چاہت
88,Aayaad,عیاد,m,گھوڑا
89,Aayan,آیان,m,خدا کا تحفہ
90,Aayed,عاید,m,وعدہ کرنے والا، عہد و پیمان کرنے والا
91,Aazaad,آزاد,m,آزاد، خُود مُختار، بے قَيد
92,Aazam,اعظم,m,عظیم، عظمت والا، بہت بڑا
93,Aazar,عاذر,m,قریب
94,Aazeen,آذین,m,سجاوٹ
95,Aazer,عاضر,m,آگ
96,Aazif,عازف,m,گلوکار
97,Aazim,عازم,m,ارادہ کرنا
98,Aazwar,عاذور,m,نشان
99,Aazz,اعاز,m,نہایَت، مضبوط، عزیز
100,Ab Ul Hasan,ابو الحسن,m,حسن کا باپ،سیدنا حضرت علی کی کنیت
101,Ab-e-nuqra,آب نقرہ,m,پارہ ۔ چاندی کا پانی
102,Abaa,عبا,m,چغہ
103,Abaad,عباد,m,فرمانبردار
104,Abaan,ابان,m,پرانا عربی نام، صاف، واضح
105,Abab,اعباب,m,صحت مند، گول مٹول، لمبا
106,Ababil,ابابیل,m,مجمع
107,Abad,آباد,m,رونق بھرا، آبادی والا
108,Abadah,عبادہ,m,تحملّ، پائيداری، قوت
109,Abadard,ابدرد,m,کامیاب، بامراد، اقبال مند
110,Abadi,آبادی,m,ازلی، لامحدود، لازوال
111,Abadilat,عبادلت,m,عبدُاللہ: اللہ کا بندہ
112,Abadullah,عبد ﷲ,m,اﷲ کی عبادت کرنے والا، اللہ کا بندہ
113,Abahat,اباحت,m,جائز،اجازت،ٹھیک
