num.,name,arabic,sex,meaning
1,Aab Baaz,آب باز,f,تیراک
2,Aabadi,آبادی,f,خوشی
3,Aabdaar,آبدار,f,روشن
4,Aabdar,آبدار,f,شیشے کی مانند ٬صاف چمکدار، ۔ پانی جیسی چمک، شفاف، صاف، نفیس، بارونق، چمکیلی، پانی رکھنے والی خادمہ
5,Aabder,آب در,f,جلد
6,Aabeeha,ابیحہ,f,حضرت فاطمہ رضی اللہ کا نام
7,Aabgeena,آبگینہ,f,آئینہ،شیشہ
8,Aabgina,آبگینہ,f,آئینہ
9,Aabida,عابدہ,f,"سچا , عقیدت مند , عبادت"
10,Aabidah,عابدہ,f,"عِبادَت گُزار, عابِد,"
11,Aabir,عابیر,f,"خُوشبُو دار , مُعَطّر"
12,Aabirah,عبیرہ,f,"عارضی, چَند روزہ,"
13,Aabis,آبص,f,"بے درد , سخت گیر , دَرُشت"
14,Aabisah,عابثہ,f,کھلاڑی
15,Aabish,آبش,f,ایران کی ملکہ٬ سعد کی بیٹی،ملکہ ایران
16,Aabloch,آبلوچ,f,مٹھائی
17,Aabraa,آبرہ,f,دلیل
18,Aabroo,عبرو,f,"عزت, شہرت,"
19,Aadab,ادب,f,امید اور ضرورت
20,Aadhina,آدھینہ,f,فرمانبردار
21,Aadila,عدیلہ,f,"عادل, ایماندار, يکساں"
22,Aadilah,عادلہ,f,جج
23,Aadina,آدینہ,f,جمعہ
24,Aadirah,عادرہ,f,وسیع
25,Aadla,آدلہ,f,دلیل
26,Aadna,آدنہ,f,بڑی عمر کی لڑکی
27,Aaeedah,عاعیدہ,f,"مہمان, ناظم انتخابات, صِلّہ"
28,Aafa,عافہ,f,غلطی معاف کردینے والی،در گُزر کرنے والی،بخش دینے والی
29,Aafaaq,آفاق,f,آسمان کا کنارہ
30,Aafda,آفدہ,f,تیز
31,Aafeh,عافہ,f,رحیم
32,Aafin,عافین,f,نیک
33,Aafiya,عافیہ,f,"اچھی صحت, بن ایوب یہ نام تھا حدیث کے ایک راوی تھا,"
34,Aafiyah,عافیہ,f,مددگار
35,Aafmah,عافمہ,f,شرارتی
36,Aafrah,عافرہ,f,مٹی
37,Aafreen,آفرین,f,تعریف
38,Aafrida,آفریدہ,f,پیدا
39,Aafrozah,آفروزہ,f,بتی
40,Aageena,آگینہ,f,آئینہ
41,Aaghamaina,آغامینا,f,خوش آواز
42,Aahaad,آحاد,f,ایک
43,Aaheng,آہنگ,f,آواز
44,Aahinah,آہینہ,f,آئینہ
45,Aahirah,عاھرہ,f,وعدہ
46,Aahlah,آہلہ,f,چاند
47,Aahuya,آہویا,f,ہوا
48,Aaidah,آیدہ,f,حدیث کے ایک راوی کا نام
49,Aaila,عائلہ,f,"خوبصورت, چاند کی طرح.,"
50,Aailaa,آئلہ,f,خوبصورت
51,Aailah,عائلہ,f,خاندان
52,Aaima,آئمہ,f,"راہ نُما, حاکم, حکمران"
53,Aaimah,آئمہ,f,رہنما
54,Aaimalk,آئیملک,f,قابل
55,Aaina,آئینہ,f,"آئینہ, منعکس کرنا ۔ , عکس دکھانا"
56,Aainah,عائنہ,f,دیکھنا
57,Aaira,آئرہ,f,"عظیم الشان, باتمیز , با اخلاق"
58,Aairah,آئرہ,f,عزت دار
59,Aairain,آئرین,f,سکون
60,Aaires,آئرس,f,قوس قزح
61,Aaishah,عائشہ,f,ایک خوش دل شخص
62,Aaitan,آئے تن,f,چاند
63,Aaitun,آئے تُن,f,چاند
64,Aajilah,عاجلہ,f,تیز
65,Aajmah,عاجمہ,f,امتحان
66,Aajra,آجرہ,f,کام کرنے والا
67,Aakhiz,آخذ,f,پکڑنے والا
68,Aakifa,اقیفا,f,ایک عورت تنہائی میں اللہ کی عبادت کرنا
69,Aakifah,اقیفہ,f,"نذر, وفا دار, منسوب کیا"
70,Aala,آلا,f,"مُستَفِيض , فيض پانے والا,"
71,Aalam Afroze,عالم افروز,f,روشن
72,Aalam Tara,عالم تارا,f,خوبصورت
73,Aalam-Aaraa,عالم آراء,f,سجاوٹ
74,Aaldah,آلدہ,f,امیر
75,Aalfah,آلفہ,f,محبت
76,Aalia,عالیہ,f,جنت ، آسمان ، اونچی
77,Aaligha,آلغہ,f,محبت
78,Aalimah,الیمہ,f,"فاضَل, اِقتَدار, عہدہ"
79,Aaliyah,علیہ,f,"اوپر جانا , چڑھنا , عزوجل اعلی"
80,Aallam,عالم,f,عنیا، جہاں
81,Aallim,عالم,f,جاننے والا
82,Aamaal,اعمال,f,"خواہشات , سانس لینا , امید"
83,Aamaj,آماج,f,امید
84,Aamanee,آمانی,f,اچھی خواہش
85,Aamarzgah,آمرزگاہ,f,دینے والا
86,Aamdah,عامدہ,f,لمبی
87,Aameer,امیر,f,سردار، حاکم
88,Aamerah,عامرہ,f,نیک
89,Aamerzish,آمرزش,f,معافی
90,Aamgha,آمغہ,f,اصل
91,Aamilah,امیلہ,f,", پارسا , صالِحَ"
92,Aamira,آمیرہ,f,"عالی شان, فَراواں, بَسا ہُوا"
93,Aamirah,آمیرہ,f,ایک عورت کا بسنا ایک جگہ میں
94,Aamiyah,عامیہ,f,فخر
95,Aamna,آمنہ,f,مطمئن
96,Aamoz,آموز,f,سیکھنے والا
97,Aan,آن,f,شان و شوکت، عزت، قسم
98,Aandah,آندہ,f,تیز
99,Aaneytah,آنتیہ,f,حیران
100,Aani,آنی,f,پڑھا لکھا عالم،باکمال عالم
101,Aani Fatimah Khatoon,آنی فاطمہ خاتون,f,وہ ایک ادبی عورت اور قستننیہ میں ایک شاعرہ تھی
102,Aania,آنیہ,f,"جانب, سمت, تعلق رکھنا"
103,Aaniba,انیبا,f,نقش قدیم پر چلنے والی
104,Aanisah,انیسہ,f,"نوجوان خاتون, عورت, لڑکی"
