num.,name,arabic,sex,meaning,meaning_en
1,name,arabic,sex,meaning,meaning
2,Aabaad,عباد,m,غلام، بندہ,"Slave, slave"
3,Aabbaz,آب باز,m,پانی میں تیرنے والا,Floating in water
4,Aabed,عابد,m,فرمانبردار,Obedient
5,Aabes,عابس,m,شیر,Lion
6,Aabid,عابد,m,نذر کرنا، بندہ,"Vow, servant"
7,Aabideen,عابدین,m,پَرِستار,پ .رِستار
8,Aabinus,آبنوس,m,گہرا سیاہ رنگ، آبنوس,"Dark black, ebony"
9,Aadam,آدم,m,پیغمبر علیہ السلام کا نام,Name of the Prophet (peace be upon him)
10,Aadar,عادر,m,حرف,Letters
11,Aadeel,عدیل,m,عدل پسند، منصف,"Fair, fair"
12,Aadil,عادل,m,منصفانہ، عادل,"Fair, just"
13,Aaess,عائث,m,شیر,Lion
14,Aaeze,عائز,m,فقیر,Poor
15,Aafandi,آفندی,m,بزرگ،محترم،نیک,"Great, respectable, nice"
16,Aafaq,آفاق,m,افق کی جمع، دنیا,"Horizon of the plural, the world"
17,Aafeen,عافین,m,غلطیاں معاف کرنے والا، رحیم,"Forgiving mistakes, Rahim"
18,Aafi,عافی,m,معاف کرنے والا، درگزر كرنے والا، غلطی بخشنے والا,"Forgiving, forgiving, forgiving"
19,Aafien,عافین,m,بہادر,Brave
20,Aafsar,عافسر,m,تیزی سے کام کرنے والا، تیز عمل کرنے والا,"Fast-paced, fast-paced"
21,Aaghaa,آغا,m,حاکم، مالکن,"Ruler, mistress"
22,Aaghir,آغر,m,نیک،شریف,"Nick, Sharif"
23,Aahid,عاہد,m,ایفائے عہد کرنے والا، وعدہ کا پکا، نبھانے والا,"The one who keeps his promise, the one who keeps his promise, the one who keeps it"
24,Aahil,آہل ۔ آحل,m,عظیم بادشاہ ، عظیم لیڈر ، شہنشاہ,"Great King, Great Leader, Emperor"
25,Aahin,عاہن,m,عاجز,helpless
26,Aaid,آید,m,واپس دینا، بحال کرنا,"Give back, restore"
27,Aaied,عائد,m,عود کر آنے والا، دوبارہ مُبتلا ہو جانا، پلٹ کر آجانا,"Recurrence, recurrence, recurrence"
28,Aaien,عاہن,m,درویش صفت، اچھی عادات کا حامل، نیک صفات کا حامل,"Darwish attribute, possessing good habits, possessing good attributes"
29,Aaiesh,عائش,m,سُکھی،عیش و آرام سے زندگی گزارنے والا,"Living a happy, luxurious life"
30,Aain,عائن,m,بڑا بادشاہ,Great king
31,Aaiq,عائق,m,رکاوٹ,obstacle
32,Aais,عیث,m,خوشی,Happiness
33,Aaish,عائش,m,خوش,good
34,Aaiss,عائث,m,شیر,Lion
35,Aajif,عاجف,m,تیز ہوا,fast winds
36,Aajil,عاجل,m,جلد باز,Open cover
37,Aajiz,عاجز,m,مجبور,Forced
38,Aakhon,آخون,m,اُستاد، معلم,"Master, teacher"
39,Aaki,عاکی,m,قیام کرنے والا، ٹھہرنے والا، مقيم,"Stayer, stayer, resident"
40,Aakif,آکف,m,عنایت کی گئی، منسلک,"Granted, attached"
41,Aalah,اعلیٰ,m,بلند مرتبہ،بہت اونچا,"High, very high"
42,Aalam,عالم,m,کائنات، دنیا,"The universe, the world"
43,Aalama,علامہ,m,عالم،دانا,"world, dana"
44,Aalamgeer,عالمگیر,m,دنیا کا فاتح,Conqueror of the world
45,Aali,علی,m,بلند، اونچا,High up
46,Aalif,آلف,m,شفقت,Compassion
47,Aalim,عالم,m,آدمی سیکھ رہا ہے، عقلمند,"Man is learning, wise"
48,Aaliyan,عالیان,m,لمبا اور صحت مند,Tall and healthy
49,Aamad,عامد,m,ارادہ کرنے والا، کوشش کرنے والا,"Intentional, striving"
50,Aameen,آمین,m,قبول کرنے والے، خدا ایسا ہی ہو۔,"Believers, may God be like that."
51,Aamel,عامل,m,عمل کرنے والا,Doer
52,Aamerr,عامر,m,آباد کرنے والا,Settler
53,Aamil,اعمل,m,موئثر، مزدور,"Efficient, labor"
54,Aamin,آمین,m,خدا کرے ایسا ہی ہو,God willing
55,Aamir,عامر,m,آباد کرنے والا،بھرا ہوا,"Settler, full"
56,Aammar,عمار,m,بنانے والا,Maker
57,Aamozgar,آموزگار,m,معلم،اتالیق،اُستاد,"Teacher, mentor, teacher"
58,Aanak,عانک,m,خالص,pure
59,Aaqaa,آقا,m,اُستاد، ملک,"Teacher, Malik"
60,Aaqib,عاقب,m,پیروکار، مُرید,"Follower, follower"
61,Aarab,عارب,m,پانی سے بھری نہر,A canal full of water
62,Aaram,عارم,m,شوخ،چنچل,"Cheerful, playful"
63,Aarat,آرت,m,فنکار,Artist
64,Aarez,عارض,m,گال,گال
65,Aarib,عریب,m,خوبصورت، تندرست,"Beautiful, healthy"
66,Aarif,عارف,m,ولی اللہ، پہچاننے والا,"Waliullah, the knower"
67,Aaron,ارون,m,عزوجل سے ایک,One from Azujal
68,Aarzam,رزم,m,جنگ، لڑائی,"War, battle"
69,Aarzu,آرزو,m,خواہش، اُمید، محبت,"Desire, hope, love"
70,Aas,عاص,m,صحابی کا نام,The name of the companion
71,Aasaal,اسال,m,شام کا وقت، اصلی، خالص,"Dinner time, original, pure"
72,Aasaf,آصَف,m,واضح,Clear
73,Aasel,عاسل,m,نیک,نیک
74,Aasem,عاصم,m,محافظ,governor
75,Aaser,عاصر,m,رکاوٹ,obstacle
76,Aasil,اصیل,m,شدید؎ حملہ,Severe attack
77,Aasim,عاصم,m,محافظ,governor
78,Aasta,آستا,m,آسرا,Asra
79,Aatak,آتک,m,سیسہ,lead
80,Aatazaz,اعتزاز,m,عزیز ہونا، پھیلانا,"To be dear, to spread"
81,Aaten,عاتن,m,مضبوط,Strong
82,Aati,عاطی,m,حاصل کرنے والا، دینے والا، بنانے والا,"Recipient, giver, maker"
83,Aatif,عاطف,m,شفیق، مہربان,"Shafiq, kind"
84,Aatim,عاطم,m,علم و فضل والا,Science and virtue and
85,Aatir,عاطر,m,خوشبو,Fragrant
86,Aawais,اویس,m,ایک بزرگ کا نام,The name of an elder
87,Aawan,آوان,m,لمحہ،وقت،گھڑی,"Moment, time, clock"
88,Aawez,آویز,m,محبت،الفت،چاہت,"Love, affection, desire"
89,Aayaad,عیاد,m,گھوڑا,horse
90,Aayan,آیان,m,خدا کا تحفہ,God&#39;s gift
91,Aayed,عاید,m,وعدہ کرنے والا، عہد و پیمان کرنے والا,"Promising, covenant-making"
92,Aazaad,آزاد,m,آزاد، خُود مُختار، بے قَيد,"Free, independent, unrestricted"
93,Aazam,اعظم,m,عظیم، عظمت والا، بہت بڑا,"Great, majestic, great"
94,Aazar,عاذر,m,قریب,Near
95,Aazeen,آذین,m,سجاوٹ,Decoration
96,Aazer,عاضر,m,آگ,Fire
97,Aazif,عازف,m,گلوکار,Singer
98,Aazim,عازم,m,ارادہ کرنا,Intend
99,Aazwar,عاذور,m,نشان,sign
